id,date,title,author,content,link
41837,2025-05-27T12:05:01,Social,Doug Stuart,"# Follow LCI on Social Media

[ X-twitter ](https://X.com/LCIOfficial) [ Youtube ](https://www.youtube.com/@LibertarianChristianInstitute) [ Instagram ](https://Instagram.com/lcinstitute) [ Facebook ](https://Facebook.com/LibertarianChristians)

[ Visit our Website ](https://libertarianchristians.com)",https://libertarianchristians.com/social/
41554,2025-04-22T13:04:06,The LCI Story: From Blog to Movement,Doug Stuart,"## **The Story of the Libertarian Christian Institute**

by Dr. Norman Horn

It started with a blog. In the aftermath of the 2008 election, as the Obama era dawned and the Ron Paul Revolution lingered in our minds, I sensed a need to speak out in an area few were exploring with theological or intellectual rigor: the intersection of Christianity and libertarianism. I wanted to do more than post essays and link to news. I wanted to make a case—not just for libertarian ideas, but for their harmony with historic Christian theology. 

So, I launched a small blog on Blogspot called “The Christian Libertarian,” intending it to be a home for my thoughts about political and economic liberty from a distinctly Christian perspective. After some early exposure from folks like Tom Woods and Bob Murphy, I bought the domain LibertarianChristians.com and started building an independent website. Little did I know that this quirky little website held together by WordPress code would become the foundation for a full-fledged organization.

The earliest content was driven largely by questions I had wrestled with myself: “What does Romans 13 really mean?” “Can a Christian support free markets without endorsing greed?” “Is the state a God-ordained institution or a rebellious tower of Babel?” I’d write long-form essays, share theological reflections, and occasionally critique the left-right dichotomy that so often entraps believers into choosing the lesser of two evils. The audience was small at first, but deeply engaged. People were hungry for thoughtful, theologically sound exploration of Christian political thought that rejected both progressive statism and nationalist conservatism.

Over time, others joined the effort. Friends and collaborators like Doug Stuart, Isaac Morehouse, Dick Clark, and Nick Gausling brought fresh insights and helped expand our vision. What began as a solo blogging project slowly grew into a team endeavor. We experimented with podcasts and videos, published articles from a variety of voices, and started engaging with people all over the world who resonated with our message.

By 2015, we saw the need to go even deeper. The ideas we were promoting weren’t just good blog material—they were vital truths with far-reaching implications. We believed that liberty isn’t just a political philosophy; it's part of God’s essential design for human flourishing. And so, we founded the Libertarian Christian Institute (LCI), a nonprofit organization committed to a simple mission: equipping the Church to promote a free society, all grounded in biblical truth and supported by sound economics and ethical clarity.

From the beginning, LCI has sought to demonstrate that libertarianism is the most consistent expression of Christian political thought. We do not mean libertinism, or the rejection of moral standards. We mean the principled stance that no one may initiate force or coercion against another—what libertarians call the non-aggression principle—which aligns naturally with the biblical commands to love our neighbor, treat others as we wish to be treated, and refuse to “lord it over” one another.

Our growth has been steady and organic. Our core medium for years was our weekly articles to help Christians learn about theology, economics, history, ethics, and libertarian theory. We then added The Libertarian Christian Podcast, which became a crucial pillar of our content strategy. Then we took this idea even further, expanding into multimedia production more concretely by establishing the [Christians For Liberty Network](https://libertarianchristians.com/shows/), which now hosts six active podcasts and two legacy shows. We’ve published books like [_Faith Seeking Freedom_](https://libertarianchristians.com/store/faith-seeking-freedom-2/) that have reached thousands of readers and helped clarify what Christian libertarianism actually is. _Faith Seeking Freedom_ in particular was born from a desire to answer the dozens of tough questions we regularly received. Why do Christians care about property rights? Is taxation theft? Should Christians support the welfare state? What about Romans 13? Our book addressed over 100 questions in a concise, conversational format, and has served as a gateway for many believers curious about these ideas.

In addition to books and articles, we’ve hosted conferences, partnered with other organizations, and launched new projects like the _Faith Ventures_ podcast, which tells the stories of Christian entrepreneurs making an impact through the marketplace. Because if we really believe that voluntary exchange and peaceful cooperation are God’s preferred means of societal flourishing, then we ought to spotlight the believers who are doing just that—serving others, creating value, and glorifying God in their work.

One of our milestones along the way was to lay out what we believe as Christian Libertarians in a simple, articulate way. This resulted in the creation of our Core Values statement, and it has been available publicly on LibertarianChristians.com for all to see since 2018. These include our belief in the compatibility of Christianity and libertarianism, our emphasis on biblical justice over political partisanship, and our commitment to integrity, humility, and truth-seeking. We want to make it abundantly clear: you _can_ be a Christian and a libertarian—not only that, you probably _ought_ to be one if you're taking both the Bible and liberty seriously. And we’re inviting every Christian across the world to learn and embrace these ideas.

Looking back, it’s almost surreal to see how far we’ve come—from a simple Blogspot page to a robust institute influencing conversations around theology, economics, and freedom. We are so grateful that so many in the liberty movement – from our fellow Christian-led organizations to even the curious atheists and agnostics – have recognized and promoted the work LCI has done for the cause of liberty. But in another sense, this journey has always been simple: tell the truth, love your neighbor, and trust God. That’s what motivates us at LCI every day.

There is still much work to be done. Christians are still too often beholden to false dichotomies, lured by promises of safety from the state or tempted by the illusion of moral purity through legislation. But we understand the essential reality: liberty is not the enemy of Christian virtue, but rather liberty is its natural outgrowth. Christ sets us free from sin and death, and that means we no longer have to be tied to the domination of human rulers and systems.

That’s the story of LCI—not just an organization, but a movement grounded in the gospel and committed to the radical idea that peace, freedom, and voluntary cooperation are not just possible, but God-honoring.

And we’re just getting started.",https://libertarianchristians.com/lci-story/
41466,2025-04-12T11:20:59,Book Request,Doug Stuart,"## CFLN Host Expense Request

To be used for CFLN hosts to request an expense approval for CFLN-related expenses.

Name(Required)

Podcast/Show(Required)

Please describe the expense request.(Required)

Where can this item be acquired?(Required)

Please describe how this expense will support your show.(Required)

Research Purposes

Interview prep for guest

Other

You chose ""other."" Please explain in brief.

Has the publisher declined to send you a review/complimentary copy of this resource?(Required)

Yes

Have you confirmed the guest will appear on your show?

Yes

No

Who is the guest, and their relation to the resource you are requesting(Required)

What is the scheduled date of recording?(Required)

MM slash DD slash YYYY

Please contact the guest and confirm an interview

Address

Street Address Address Line 2 City State / Province / Region ZIP / Postal Code AfghanistanAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntarcticaAntigua and BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBonaire, Sint Eustatius and SabaBosnia and HerzegovinaBotswanaBouvet IslandBrazilBritish Indian Ocean TerritoryBrunei DarussalamBulgariaBurkina FasoBurundiCabo VerdeCambodiaCameroonCanadaCayman IslandsCentral African RepublicChadChileChinaChristmas IslandCocos IslandsColombiaComorosCongoCongo, Democratic Republic of theCook IslandsCosta RicaCroatiaCubaCuraçaoCyprusCzechiaCôte d'IvoireDenmarkDjiboutiDominicaDominican RepublicEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatiniEthiopiaFalkland IslandsFaroe IslandsFijiFinlandFranceFrench GuianaFrench PolynesiaFrench Southern TerritoriesGabonGambiaGeorgiaGermanyGhanaGibraltarGreeceGreenlandGrenadaGuadeloupeGuamGuatemalaGuernseyGuineaGuinea-BissauGuyanaHaitiHeard Island and McDonald IslandsHoly SeeHondurasHong KongHungaryIcelandIndiaIndonesiaIranIraqIrelandIsle of ManIsraelItalyJamaicaJapanJerseyJordanKazakhstanKenyaKiribatiKorea, Democratic People's Republic ofKorea, Republic ofKuwaitKyrgyzstanLao People's Democratic RepublicLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMacaoMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMartiniqueMauritaniaMauritiusMayotteMexicoMicronesiaMoldovaMonacoMongoliaMontenegroMontserratMoroccoMozambiqueMyanmarNamibiaNauruNepalNetherlandsNew CaledoniaNew ZealandNicaraguaNigerNigeriaNiueNorfolk IslandNorth MacedoniaNorthern Mariana IslandsNorwayOmanPakistanPalauPalestine, State ofPanamaPapua New GuineaParaguayPeruPhilippinesPitcairnPolandPortugalPuerto RicoQatarRomaniaRussian FederationRwandaRéunionSaint BarthélemySaint Helena, Ascension and Tristan da CunhaSaint Kitts and NevisSaint LuciaSaint MartinSaint Pierre and MiquelonSaint Vincent and the GrenadinesSamoaSan MarinoSao Tome and PrincipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSint MaartenSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth Georgia and the South Sandwich IslandsSouth SudanSpainSri LankaSudanSurinameSvalbard and Jan MayenSwedenSwitzerlandSyria Arab RepublicTaiwanTajikistanTanzania, the United Republic ofThailandTimor-LesteTogoTokelauTongaTrinidad and TobagoTunisiaTurkmenistanTurks and Caicos IslandsTuvaluTürkiyeUS Minor Outlying IslandsUgandaUkraineUnited Arab EmiratesUnited KingdomUnited StatesUruguayUzbekistanVanuatuVenezuelaViet NamVirgin Islands, BritishVirgin Islands, U.S.Wallis and FutunaWestern SaharaYemenZambiaZimbabweÅland Islands Country",https://libertarianchristians.com/bookrequest/
40929,2025-03-19T13:16:20,Books,Doug Stuart,"## Featured Books

[](https://libertarianchristians.com/store/what-do-libertarian-christians-believe-ebook/)

[Add to cart](?add-to-cart=41613)

##### [What do Libertarian Christians Believe? eBook](https://libertarianchristians.com/store/what-do-libertarian-christians-believe-ebook/)

$3.99

[](https://libertarianchristians.com/store/a-house-divided/)

[Add to cart](?add-to-cart=40508)

##### [A House Divided Paperback](https://libertarianchristians.com/store/a-house-divided/)

$19.99

[](https://libertarianchristians.com/store/anarchist-anabaptist/)

[Add to cart](?add-to-cart=39987)

##### [The Anarchist Anabaptist](https://libertarianchristians.com/store/anarchist-anabaptist/)

$11.99

[](https://libertarianchristians.com/store/strangers-with-candy-2/)

[Add to cart](?add-to-cart=33131)

##### [Strangers with Candy Paperback](https://libertarianchristians.com/store/strangers-with-candy-2/)

$14.99

[](https://libertarianchristians.com/store/faith-seeking-freedom-2/)

[Add to cart](?add-to-cart=25688)

##### [Faith Seeking Freedom](https://libertarianchristians.com/store/faith-seeking-freedom-2/)

$11.99

## FREE Books

[](https://libertarianchristians.com/store/christians-must-love-peace-even-now/)

[Add to cart](?add-to-cart=40923)

##### [Christians Must Love Peace, Even Now](https://libertarianchristians.com/store/christians-must-love-peace-even-now/)

$0.00

[](https://libertarianchristians.com/store/can-a-christian-be-a-libertarian/)

[Add to cart](?add-to-cart=40917)

##### [Can a Christian be a Libertarian?](https://libertarianchristians.com/store/can-a-christian-be-a-libertarian/)

$0.00

[](https://libertarianchristians.com/store/a-biblical-case-for-anarchy/)

[Add to cart](?add-to-cart=40911)

##### [A Biblical Case for Anarchy](https://libertarianchristians.com/store/a-biblical-case-for-anarchy/)

$0.00

[](https://libertarianchristians.com/store/against-school-notes-on-education/)

[Add to cart](?add-to-cart=40901)

##### [Against School: Notes on Education](https://libertarianchristians.com/store/against-school-notes-on-education/)

$0.00

[](https://libertarianchristians.com/store/america-the-beautiful/)

[Add to cart](?add-to-cart=40894)

##### [America the Beautiful?](https://libertarianchristians.com/store/america-the-beautiful/)

$0.00

[](https://libertarianchristians.com/store/the-beautiful-marketplace/)

[Add to cart](?add-to-cart=40891)

##### [The Beautiful Marketplace](https://libertarianchristians.com/store/the-beautiful-marketplace/)

$0.00

[](https://libertarianchristians.com/store/caesar-god/)

[Add to cart](?add-to-cart=40885)

##### [Caesar & God](https://libertarianchristians.com/store/caesar-god/)

$0.00

[](https://libertarianchristians.com/store/the-things-that-make-for-peace/)

[Add to cart](?add-to-cart=40879)

##### [The Things that Make for Peace](https://libertarianchristians.com/store/the-things-that-make-for-peace/)

$0.00

[](https://libertarianchristians.com/store/incarnation-liberty/)

[Add to cart](?add-to-cart=40873)

##### [Incarnation & Liberty](https://libertarianchristians.com/store/incarnation-liberty/)

$0.00

[](https://libertarianchristians.com/store/40864/)

[Add to cart](?add-to-cart=40864)

##### [Thanksgiving, Christian Hospitality, & Immigrants](https://libertarianchristians.com/store/40864/)

$0.00

[](https://libertarianchristians.com/store/politics-and-equality/)

[Add to cart](?add-to-cart=40859)

##### [Politics and Equality](https://libertarianchristians.com/store/politics-and-equality/)

$0.00

[](https://libertarianchristians.com/store/living-free/)

[Add to cart](?add-to-cart=40851)

##### [Living Free: Reflections on Libertarian Christian Living](https://libertarianchristians.com/store/living-free/)

$0.00

[](https://libertarianchristians.com/store/the-way-of-the-christian/)

[Add to cart](?add-to-cart=40844)

##### [The Way of the Christian](https://libertarianchristians.com/store/the-way-of-the-christian/)

$0.00

[](https://libertarianchristians.com/store/ten-things-i-hate-about-taxes/)

[Add to cart](?add-to-cart=37910)

##### [Ten Things I Hate About Taxes](https://libertarianchristians.com/store/ten-things-i-hate-about-taxes/)

$0.00

[](https://libertarianchristians.com/store/jesus-wasnt-a-libertarian-but-hes-glad-i-am/)

[Add to cart](?add-to-cart=35292)

##### [Jesus Wasn't a Libertarian (But He's Glad I Am)](https://libertarianchristians.com/store/jesus-wasnt-a-libertarian-but-hes-glad-i-am/)

$0.00

[](https://libertarianchristians.com/store/what-about-abortion/)

[Add to cart](?add-to-cart=35300)

##### [What About Abortion?](https://libertarianchristians.com/store/what-about-abortion/)

$0.00

[](https://libertarianchristians.com/store/the-church-of-christ-world-powers/)

[Add to cart](?add-to-cart=35299)

##### [The Church of Christ & World Powers](https://libertarianchristians.com/store/the-church-of-christ-world-powers/)

$0.00

[](https://libertarianchristians.com/store/christianity-libertarianism-allies-not-enemies-2/)

[Add to cart](?add-to-cart=35298)

##### [Christianity & Libertarianism: Allies, not Enemies](https://libertarianchristians.com/store/christianity-libertarianism-allies-not-enemies-2/)

$0.00

[](https://libertarianchristians.com/store/madness-of-politics/)

[Add to cart](?add-to-cart=37781)

##### [The Madness of Politics](https://libertarianchristians.com/store/madness-of-politics/)

$0.00

[](https://libertarianchristians.com/store/romans-13-a-libertarian-guide/)

[Add to cart](?add-to-cart=35297)

##### [Romans 13: A Libertarian Guide](https://libertarianchristians.com/store/romans-13-a-libertarian-guide/)

$0.00

[](https://libertarianchristians.com/store/the-birth-of-mercy-essays-on-the-birth-of-the-christ/)

[Add to cart](?add-to-cart=35296)

##### [The Birth of Mercy: Essays on the Birth of the Christ](https://libertarianchristians.com/store/the-birth-of-mercy-essays-on-the-birth-of-the-christ/)

$0.00

[](https://libertarianchristians.com/store/peaceful-christians-what-does-the-bible-say-about-war/)

[Add to cart](?add-to-cart=35295)

##### [Peaceful Christians: What does the Bible Say About War?](https://libertarianchristians.com/store/peaceful-christians-what-does-the-bible-say-about-war/)

$0.00

[](https://libertarianchristians.com/store/is-the-bible-pro-coercion/)

[Add to cart](?add-to-cart=35294)

##### [Is the Bible Pro-Coercion?](https://libertarianchristians.com/store/is-the-bible-pro-coercion/)

$0.00

[](https://libertarianchristians.com/store/make-immigration-great-again/)

[Add to cart](?add-to-cart=35293)

##### [Make Immigration Great Again](https://libertarianchristians.com/store/make-immigration-great-again/)

$0.00

[](https://libertarianchristians.com/store/idolatry-of-statism-ebook/)

[Add to cart](?add-to-cart=34548)

##### [Idolatry of Statism eBook](https://libertarianchristians.com/store/idolatry-of-statism-ebook/)

$0.00

[](https://libertarianchristians.com/store/faith-seeking-freedom-study-guide/)

[Add to cart](?add-to-cart=33443)

##### [Faith Seeking Freedom Study Guide](https://libertarianchristians.com/store/faith-seeking-freedom-study-guide/)

$0.00",https://libertarianchristians.com/books/
39968,2025-01-18T20:13:59,A House Divided,Doug Stuart,"# A House Divided

## Technology, Worship, and Healing the Church After COVID

### Book Details

Author: Benjamin D. Giffone  
240 pages

### Summary

COVID-19 is firmly in the past for most of us today. However, the social harms of the pandemic are only just beginning to be recognized in the global church. In truth, many Christians all over the world experienced spiritual harms which linger today. This book kickstarts the much-needed conversation about responses to the COVID pandemic in the church. Giffone identifies pre-existing pathologies in theology and practice which were revealed in the crisis, and which still threaten Christian communities.

A House Divided advocates the importance of corporate worship, which was suspended during the pandemic. Tragically, the uncritical adoption of technology in recent decades has led Christians to undervalue the experience of God through embodied practices such as the Lord’s Supper, baptism, and fellowship. Moreover, Giffone demonstrates that church leaders too often abdicated their spiritual responsibilities to secular authorities. Using the theme of flawed leadership in the book of Ezekiel, Giffone argues that leaders, and their congregations, can be restored through truth-telling and repentance.

Full of theological insight, sobering reflection, but ultimately hopeful prescriptions—this book applies biblical principles to current issues. Anyone who cares about the future of the church—scholars, pastors, church leaders, and lay people—will find this book provocative and engaging.

[ Buy Kindle  ](https://www.amazon.com/dp/B0F1JQ2S1P) [ Buy Paperback on Amazon  ](https://a.co/d/grMzoZL) [ Buy Paperback Direct  ](https://libertarianchristians.com/store/a-house-divided/)

### Have a show or podcast? Book Benj today! 

If you have a show or podcast, you can book Benj today by contacting us through the LCI contact page below:

[ Book Today ](https://libertarianchristians.com/contact)

## Interviews

[ ](https://youtu.be/UAopKhlV8eE?si=MIMc531S16ILpytG)

[ ](https://youtube.com/live/NTgK4o0y0yc)

[ ](https://youtu.be/1Tb4JQXTCyw?si=6OI3BDPpCrPT1BTg)

[ ](https://www.youtube.com/watch?v=CDJF24n8R7A)

[ ](https://creators.spotify.com/pod/profile/onefear5/episodes/S5E05---A-House-Divided-Author-Interview-e31dsdn)

[ ](https://libertarianchristians.com/episode/episode-399-worship-technology-healing-the-church-after-covid/)

## Endorsements

“Benjamin Giffone takes readers on a dark but necessary journey into the COVID-stricken world of 2020. This is a must read for those who seeking restoration and holiness for Christ's church.”

David H. Wenkel, PhD (Aberdeen)

LCC International University, Lithuania

“Benjamin Giffone's book is at once a badly needed critique of the Church's unreflective embrace of modern technology in worship and a powerful call to the Church to repent over its failure to respond properly to the Covid-19 crisis by embracing the pseudo-scientific consensus narrative that was forced upon much of the world's population by political, cultural, and economic elites. It should be read far and wide by ministers, clergy, and laity alike.”

Fr. Jamie Franklin, DPhil (Oxford)

Anglican priest, host of ""Irreverend: Faith and Current Affairs"" podcast

""Giffone explains that the impacts on the church of technology and the COVID-19 pandemic were profound, perhaps even existential. Going online to avoid in-person worship, for instance, exacts a far higher cost than most people might realize. The author urges Christians to resist mob mentalities and government overreach by a recommitment to truth, courage, and the very essence of the faith—a message both the clergy and the laity urgently need to hear now. This is not a book for faint-hearted, fair-weather believers.""

Lawrence W. Reed

Foundation for Economic Education

## Get the latest updates on this book!

Name(Required)

First

Email(Required)

Enter Email Confirm Email

Consent(Required)

I agree to join the LCI Mailing List

## Interviews",https://libertarianchristians.com/house-divided/
39749,2024-12-23T20:33:43,The Anarchist Anabaptist,Doug Stuart,"## **Now Available on Audible!**

You can now listen to  _The Anarchist Anabaptist,_ read by Gordon Greenhill. 

[Get it here on Audible](https://www.audible.com/pd/B0F111LGFP/?source_code=AUDFPWS0223189MWT-BK-ACX0-438008&ref=acx_bty_BK_ACX0_438008_rh_us)

# The Anarchist Anabaptist

Almost two hundred years before the liberal tradition of religious freedom, toleration, and consent was birthed, a group of radical Christians in northern Europe discovered these ideas in the New Testament. They were called the Anabaptists.

_The Anarchist Anabaptist_ encourages libertarians to give Anabaptism a second look while reminding contemporary Anabaptists of their heritage and its influence.

_"" A mature and compelling reflection on some controversial and challenging ideas—ones that resonate with the Christian claim that Christ is King. I highly recommend it.”_  
– Preston Sprinkle

_"" The Anarchist Anabaptist offers our polarized world a radical political vision formed by the words and ways of Jesus of Nazareth.""_  
– David Ritchie

_"" An important contribution for the ongoing conversation about the role of the state, its relationship with the church, and ultimately the nature of human societies themselves.""_  
– Jon Carlson

[ Buy on Amazon  ](https://a.co/d/bGbAWLY) [ Buy from LCI  ](https://libertarianchristians.com/store/anarchist-anabaptist/)

## Interviews

[ ](https://jakedoberenz.substack.com/p/a-voluntary-faith-cody-cook)

[ ](https://open.spotify.com/episode/2r5xqB4o6oNKj4n8XiPTZa?si=9OPduFWWQJK_doN141brIg)

[ ](https://www.bobmurphyshow.com/episodes/ep-394-cody-cook-on-his-new-book-the-anarchist-anabaptist/)

[ ](https://libertarianchristians.com/episode/ep-183-anabaptist-anarchy-with-cody-cook/)

[ ](https://theologyintheraw.com/podcast/the-anarchist-anabaptist-cody-cook/)

[ ](https://www.thebadroman.com/show-notes/episode-128)

[ ](https://libertarianchristians.com/episode/unscripted-conversations-on-liberty-pacifism-and-the-gospel-with-cody-cook/)

[ ](https://libertarianchristians.com/episode/episode-389-the-anarchist-anabaptist-with-cody-cook/)

[ ](https://thefourthway.transistor.fm/episodes/interview-w-cody-cook)

## Endorsements

“Cody Cook’s The Anarchist Anabaptist is a clear, informed, and compelling book. He explains the roots of both Anarchism and Anabaptism, then puts them into conversation with Libertarianism, and shows how they can converge into a robust political theology. I found Cody’s book to be a mature and compelling reflection on some controversial and challenging ideas—ones that resonate with the Christian claim that Christ is King. I highly recommend it.” 

Preston Sprinkle (Ph.D.)

Author of Exiles: The Church in the Shadow of Empire and host of the Theology in the Raw podcast

""In recent years, a host of scholars and theologians have rightly described, examined, and criticized the phenomenon of Christian nationalism. However, there is a growing need to venture beyond a mere critique of Christian nationalism toward a better alternative. Cody Cook’s The Anarchist Anabaptist offers our polarized world a radical political vision formed by the words and ways of Jesus of Nazareth. This work represents a brilliant, sincere, and passionate culmination of years of faithful work and writing of an author who invites readers to expand the horizons of their political imaginations beyond the confined categories of the kings and kingdoms of men.""

David A. Ritchie

Author of Why Do the Nations Rage? The Demonic Origin of Nationalism 

""The Anarchist Anabaptist does remarkable work identifying the resonances as well as the tensions that exist between Anabaptism and anarchism. While few people might naturally associate the two schools of thought, Cook demonstrates how anarchists and Anabaptists alike prioritize freedom of conscience and voluntarism. Although not universally held within either tradition, nonviolence and non-aggression represent key dimensions within anarchic and Anabaptist practice—which Cook recognizes as a source of both convergence and divergence. In this book, Cook offers an important contribution for the ongoing conversation about the role of the state, its relationship with the church, and ultimately the nature of human societies themselves.""

Jon Carlson

Mennonite Pastor

""When most people hear the word anarchy they think 'chaos, free for all.' But in this collection of essays Cody Cook offers a different perspective, closer to 'freedom from coercion.' In matters of Christian faith, and how we relate to the world around us, he draws from the best of the Anabaptist tradition to encourage a better way forward, one that indeed calls on us to be peaceable to others, and to learn that coercion rarely accords with the way of Jesus.""

Matthew E. Ferris

author of If One Uses It Lawfully: The Law of Moses and the Christian Life

### Have a show or podcast? Book Cody today! 

If you have a show or podcast, you can book Cody today! 

[ Book Today ](https://libertarianchristianinstitute.notion.site/The-Anarchist-Anabaptist-19267899c74080749f96ecd1a7869af0?pvs=73)

## Get the latest updates on books from LCI!

Join our mailing list and be the first to know when LCI publishes new books, articles, and episodes. 

Name(Required)

First

Email(Required)

Enter Email Confirm Email

Consent(Required)

I agree to join the LCI Mailing List",https://libertarianchristians.com/anarchist-anabaptist/
39645,2024-12-15T12:17:56,Beyond DOGE,Doug Stuart,"## Do you think D.O.G.E.  
will do good?

## We think we can do better!

### Full Site Coming Soon",https://libertarianchristians.com/beyond-doge/
39304,2024-11-13T13:30:33,Update Billing Card,Doug Stuart,[rcp_update_card],https://libertarianchristians.com/register/update-billing-card/
39303,2024-11-13T13:30:33,Edit Your Profile,Doug Stuart,[rcp_profile_editor],https://libertarianchristians.com/register/edit-your-profile/
39302,2024-11-13T13:30:33,Your Membership,Doug Stuart,[subscription_details],https://libertarianchristians.com/register/your-membership/
